"ID","Modul","Tip","Ruta ili fajl","Akcija/kontrola","Očekivani rezultat","Izvor implementacije","Preduslovi","Status","Prioritet","Dokaz","Napomena","Preporučeni test"
"PAGE-016","Javni storefront","PAGE_ROUTE","/[slug]","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(content)/[slug]/page.tsx","Nema","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-017","Javni storefront","PAGE_ROUTE","/brisanje-podataka","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(content)/brisanje-podataka/page.tsx","Nema","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-018","Javni storefront","PAGE_ROUTE","/komentari","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(content)/komentari/page.tsx","Nema","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-019","Javni storefront","PAGE_ROUTE","/kontakt","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(content)/kontakt/page.tsx","Nema","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-020","Newsletter","PAGE_ROUTE","/newsletter/potvrdi","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(content)/newsletter/potvrdi/page.tsx","Nema","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-021","Javni storefront","PAGE_ROUTE","/o-nama","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(content)/o-nama/page.tsx","Nema","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-022","Javni storefront","PAGE_ROUTE","/podesavanja-kolacica","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(content)/podesavanja-kolacica/page.tsx","Nema","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-023","Javni storefront","PAGE_ROUTE","/politika-privatnosti","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(content)/politika-privatnosti/page.tsx","Nema","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-024","Javni storefront","PAGE_ROUTE","/pomoc","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(content)/pomoc/page.tsx","Nema","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-025","Reklamacije","PAGE_ROUTE","/reklamacije","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(content)/reklamacije/page.tsx","Nema","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-026","Javni storefront","PAGE_ROUTE","/servis","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(content)/servis/page.tsx","Nema","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-027","Javni storefront","PAGE_ROUTE","/uslovi-isporuke","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(content)/uslovi-isporuke/page.tsx","Nema","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-028","Javni storefront","PAGE_ROUTE","/uslovi-koriscenja","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(content)/uslovi-koriscenja/page.tsx","Nema","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-029","Javni storefront","PAGE_ROUTE","/uslovi-kupovine","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(content)/uslovi-kupovine/page.tsx","Nema","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-030","Javni storefront","PAGE_ROUTE","/akcija","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(shop)/akcija/page.tsx","Nema","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-031","Javni storefront","PAGE_ROUTE","/heroji-meseca","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(shop)/heroji-meseca/page.tsx","Nema","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-032","Javni storefront","PAGE_ROUTE","/k/[...slug]","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(shop)/k/[...slug]/page.tsx","Nema","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-033","Javni storefront","PAGE_ROUTE","/kolekcija/[slug]","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(shop)/kolekcija/[slug]/page.tsx","Nema","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-034","Checkout i korpa","PAGE_ROUTE","/korpa","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(shop)/korpa/page.tsx","Nema","PASS","P2","Produkcioni desktop/mobile browser; cart persistence; screenshot; build","Direktan ili route-protection dokaz postoji; pojedinačne mutacije nisu obuhvaćene ovim redom.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-035","Javni storefront","PAGE_ROUTE","/nedeljna-akcija","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(shop)/nedeljna-akcija/page.tsx","Nema","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-036","Javni storefront","PAGE_ROUTE","/niske-cene-pod-zastitom","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(shop)/niske-cene-pod-zastitom/page.tsx","Nema","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-037","Javni storefront","PAGE_ROUTE","/novo","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(shop)/novo/page.tsx","Nema","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-038","Javni storefront","PAGE_ROUTE","/ogranicena-ponuda","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(shop)/ogranicena-ponuda/page.tsx","Nema","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-039","Javni storefront","PAGE_ROUTE","/outlet","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(shop)/outlet/page.tsx","Nema","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-040","Javni storefront","PAGE_ROUTE","/p/[slug]","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(shop)/p/[slug]/page.tsx","Nema","PASS","P2","Produkcioni PDP browser za RAB-79196; screenshot; build","Direktan ili route-protection dokaz postoji; pojedinačne mutacije nisu obuhvaćene ovim redom.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-041","Javni storefront","PAGE_ROUTE","/","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(shop)/page.tsx","Nema","PASS","P2","Produkcioni desktop/mobile browser; screenshot; build","Direktan ili route-protection dokaz postoji; pojedinačne mutacije nisu obuhvaćene ovim redom.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-042","Javni storefront","PAGE_ROUTE","/ponuda/[slug]","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(shop)/ponuda/[slug]/page.tsx","Nema","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-043","Katalog i pretraga","PAGE_ROUTE","/pretraga","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(shop)/pretraga/page.tsx","Nema","PASS","P2","Produkcioni browser upiti SMD/SMD-LED/SKU; screenshot; build","Direktan ili route-protection dokaz postoji; pojedinačne mutacije nisu obuhvaćene ovim redom.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-044","Javni storefront","PAGE_ROUTE","/specijalne-ponude","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(shop)/specijalne-ponude/page.tsx","Nema","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-045","Javni storefront","PAGE_ROUTE","/sve-do-999","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(shop)/sve-do-999/page.tsx","Nema","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-046","Javni storefront","PAGE_ROUTE","/svet-akcija/[sifra]","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(shop)/svet-akcija/[sifra]/page.tsx","Nema","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-047","Javni storefront","PAGE_ROUTE","/svet-akcija","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/(shop)/svet-akcija/page.tsx","Nema","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-048","Admin/CMS","PAGE_ROUTE","/admin/audit-log","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/admin/audit-log/page.tsx","Admin sesija i odgovarajuća rola","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-049","Admin/CMS","PAGE_ROUTE","/admin/baneri","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/admin/baneri/page.tsx","Admin sesija i odgovarajuća rola","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-050","Admin/CMS","PAGE_ROUTE","/admin/cenovnici/[id]","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/admin/cenovnici/[id]/page.tsx","Admin sesija i odgovarajuća rola","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-051","Admin/CMS","PAGE_ROUTE","/admin/checkouti","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/admin/checkouti/page.tsx","Admin sesija i odgovarajuća rola","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-052","Admin/CMS","PAGE_ROUTE","/admin/dostava","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/admin/dostava/page.tsx","Admin sesija i odgovarajuća rola","PARTIAL","P2","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-053","Admin ERP","PAGE_ROUTE","/admin/erp/[module]","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/admin/erp/[module]/page.tsx","Admin sesija i odgovarajuća rola","PARTIAL","P1","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-054","Admin ERP","PAGE_ROUTE","/admin/erp/akcije","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/admin/erp/akcije/page.tsx","Admin sesija i odgovarajuća rola","PARTIAL","P1","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-055","Admin ERP","PAGE_ROUTE","/admin/erp/artikli/[id]","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/admin/erp/artikli/[id]/page.tsx","Admin sesija i odgovarajuća rola","PARTIAL","P1","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-056","Admin ERP","PAGE_ROUTE","/admin/erp/artikli/[id]/zalihe","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/admin/erp/artikli/[id]/zalihe/page.tsx","Admin sesija i odgovarajuća rola","PARTIAL","P1","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
"PAGE-057","Admin ERP","PAGE_ROUTE","/admin/erp/artikli/import","Otvaranje i osnovno renderovanje stranice","Ispravan sadržaj, navigacija, dozvole i stanje bez fatalne greške","src/app/admin/erp/artikli/import/page.tsx","Admin sesija i odgovarajuća rola","PARTIAL","P1","Next build route manifest + statička inspekcija; nema bezbednog produkcionog E2E dokaza","Route postoji i build prolazi, ali nema potpunog browser/persistence/provider dokaza.","Desktop + mobile E2E sa realnim prerequisites i proverom stanja nakon refresh-a"
